646.1,-0.926,0.348,-0.281,,
646.2,-0.941,0.32,-0.277,,
646.3,-0.957,0.309,-0.277,,
646.4,-0.965,0.305,-0.273,,
646.5,-0.969,0.305,-0.27,,
646.6,-0.969,0.313,-0.27,,
646.7,-0.961,0.316,-0.273,,
646.8,-0.945,0.332,-0.277,,
646.9,-0.93,0.328,-0.281,,
647,-0.918,0.332,-0.309,,
647.1,-0.906,0.328,-0.324,,
647.2,-0.891,0.316,-0.328,,
647.3,-0.887,0.305,-0.328,,
647.4,-0.906,0.297,-0.336,,
647.5,-0.926,0.293,-0.336,,
647.6,-0.938,0.305,-0.324,,
647.7,-0.941,0.305,-0.313,,
647.8,-0.941,0.313,-0.305,,
647.9,-0.938,0.32,-0.309,,
648,-0.926,0.34,-0.32,,
648.1,-0.914,0.355,-0.336,,
648.2,-0.91,0.375,-0.34,,
648.3,-0.895,0.383,-0.336,,
648.4,-0.891,0.398,-0.336,,
648.5,-0.895,0.406,-0.32,,
648.6,-0.891,0.414,-0.305,,
648.7,-0.883,0.418,-0.289,,
648.8,-0.883,0.414,-0.289,,
648.9,-0.879,0.414,-0.285,,
649,-0.891,0.414,-0.293,,
649.1,-0.898,0.418,-0.293,,
649.2,-0.906,0.438,-0.297,,
649.3,-0.926,0.465,-0.305,,
649.4,-0.949,0.508,-0.328,,
649.5,-0.945,0.539,-0.332,,
649.6,-0.938,0.57,-0.309,,
649.7,-0.918,0.594,-0.297,,
649.8,-0.887,0.613,-0.262,,
649.9,-0.883,0.641,-0.258,,
650,-0.879,0.645,-0.262,,
650.1,-0.863,0.652,-0.27,,
650.2,-0.828,0.629,-0.285,,
650.3,-0.781,0.605,-0.258,,
650.4,-0.773,0.598,-0.242,,
650.5,-0.797,0.582,-0.254,,
650.6,-0.813,0.578,-0.254,,
650.7,-0.82,0.563,-0.246,,
650.8,-0.824,0.555,-0.258,,
650.9,-0.836,0.555,-0.25,,
651,-0.844,0.57,-0.234,,
651.1,-0.844,0.582,-0.219,,
651.2,-0.84,0.59,-0.191,,
651.3,-0.809,0.59,-0.168,,
651.4,-0.773,0.574,-0.16,,
651.5,-0.73,0.523,-0.141,,
651.6,-0.719,0.527,-0.152,,
651.7,-0.703,0.523,-0.16,,
651.8,-0.691,0.527,-0.16,,
651.9,-0.68,0.527,-0.16,,
652,-0.668,0.527,-0.156,,
652.1,-0.652,0.527,-0.152,,
652.2,-0.641,0.527,-0.152,,
652.3,-0.625,0.523,-0.172,,
652.4,-0.617,0.535,-0.215,,
652.5,-0.621,0.547,-0.266,,
652.6,-0.633,0.543,-0.297,,
652.7,-0.66,0.539,-0.32,,
652.8,-0.703,0.539,-0.336,,
652.9,-0.766,0.559,-0.309,,
653,-0.828,0.594,-0.238,,
653.1,-0.902,0.637,-0.156,,
653.2,-1.004,0.684,-0.102,,
653.3,-1.094,0.73,-0.09,,
653.4,-1.148,0.781,-0.133,,
653.5,-1.129,0.809,-0.184,,
653.6,-1.043,0.785,-0.199,,
653.7,-0.953,0.711,-0.215,,
653.8,-0.871,0.598,-0.223,,
653.9,-0.797,0.488,-0.238,,
654,-0.75,0.391,-0.262,,
654.1,-0.73,0.328,-0.277,,
654.2,-0.738,0.297,-0.266,,
654.3,-0.766,0.289,-0.258,,
