LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
8.98E-04,-0.204624,0.441133,98007,2015-07-06 12:35:20:842
-0.192649,-0.620759,-0.453706,98507,2015-07-06 12:35:21:342
-0.030387,-1.150507,0.010029,99007,2015-07-06 12:35:21:842
-0.310155,-0.067809,-1.304837,99507,2015-07-06 12:35:22:342
-0.083526,-0.284558,0.34144,100007,2015-07-06 12:35:22:842
-1.018781,0.958158,0.013322,100507,2015-07-06 12:35:23:342
-0.238903,-0.868344,0.166005,101007,2015-07-06 12:35:23:842
0.140109,0.324076,-0.216749,101512,2015-07-06 12:35:24:347
0.321681,-0.1202,0.618664,102007,2015-07-06 12:35:24:842
1.154998,0.922382,-1.50991,102507,2015-07-06 12:35:25:342
-0.968037,-0.469274,0.2645,103007,2015-07-06 12:35:25:842
1.109792,0.386197,-0.340841,103507,2015-07-06 12:35:26:342
0.540975,-0.14924,0.28875,104011,2015-07-06 12:35:26:846
0.273032,1.572181,-1.033451,104507,2015-07-06 12:35:27:342
-0.495919,-0.203876,0.64905,105007,2015-07-06 12:35:27:842
0.21136,0.294438,-0.169448,105507,2015-07-06 12:35:28:342
0.880319,-0.175136,0.810714,106009,2015-07-06 12:35:28:844
1.311872,-0.08667,-1.979633,106507,2015-07-06 12:35:29:342
-0.767155,-0.502954,0.579595,107007,2015-07-06 12:35:29:842
0.501008,-0.299228,-0.373922,107507,2015-07-06 12:35:30:342
1.044378,-0.319735,0.964594,108007,2015-07-06 12:35:30:842
-0.396825,-0.253573,-1.753454,108507,2015-07-06 12:35:31:342
-0.872985,-0.626148,0.640967,109007,2015-07-06 12:35:31:842
0.599803,0.220491,0.222138,109507,2015-07-06 12:35:32:342
0.315843,-0.318538,0.527054,110007,2015-07-06 12:35:32:842
0.416883,0.093855,-2.011966,110507,2015-07-06 12:35:33:342
0.049846,-1.195115,0.503703,111007,2015-07-06 12:35:33:842
0.853824,0.096998,-0.541574,111507,2015-07-06 12:35:34:342
-0.229772,-0.20193,0.287552,112007,2015-07-06 12:35:34:842
0.180674,1.715433,-0.934806,112507,2015-07-06 12:35:35:342
-0.573308,-0.85577,0.515079,113011,2015-07-06 12:35:35:846
0.449815,0.129032,-0.185015,113507,2015-07-06 12:35:36:342
-0.099842,-0.101788,0.81745,114006,2015-07-06 12:35:36:841
-1.146765,-0.86565,-1.67367,114509,2015-07-06 12:35:37:344
-0.932112,-0.31734,1.002465,115007,2015-07-06 12:35:37:842
0.246986,-0.260458,-0.437241,115507,2015-07-06 12:35:38:342
1.945953,1.228495,0.238903,116007,2015-07-06 12:35:38:842
-0.282313,-0.630639,-1.542393,116507,2015-07-06 12:35:39:342
-0.968037,0.968336,0.700394,117007,2015-07-06 12:35:39:842
1.040786,-0.497416,0.337548,117507,2015-07-06 12:35:40:342
-0.159568,-0.464334,-1.432371,118007,2015-07-06 12:35:40:842
-0.342937,0.00943,-0.294438,118507,2015-07-06 12:35:41:342
-0.691712,0.86101,0.345033,119006,2015-07-06 12:35:41:841
-0.185764,-0.674198,-0.521665,119507,2015-07-06 12:35:42:342
0.316891,1.117875,1.260529,120007,2015-07-06 12:35:42:842
-0.836311,-0.598156,-1.988764,120507,2015-07-06 12:35:43:342
-0.056133,-1.247057,-0.529599,121007,2015-07-06 12:35:43:842
-0.655038,-0.202679,7.48E-04,121507,2015-07-06 12:35:44:342
2.079027,1.126857,0.436193,122007,2015-07-06 12:35:44:842
-1.450633,0.032932,-1.989812,122507,2015-07-06 12:35:45:342
0.222437,3.002307,1.042283,123006,2015-07-06 12:35:45:841
-0.599803,0.09595,0.172142,123507,2015-07-06 12:35:46:342
0.674946,0.546514,0.559087,124008,2015-07-06 12:35:46:843
-0.067809,-1.040786,-1.180146,124507,2015-07-06 12:35:47:342
-0.10089,1.585503,0.537083,125007,2015-07-06 12:35:47:842
-0.680036,0.036075,-0.629291,125512,2015-07-06 12:35:48:347
0.752485,-0.184117,0.28845,126009,2015-07-06 12:35:48:844
0.561782,0.618664,-1.88982,126508,2015-07-06 12:35:49:343
-1.272504,-0.642614,-0.31749,127007,2015-07-06 12:35:49:842
0.864901,-0.196242,-0.797691,127507,2015-07-06 12:35:50:342
0.183219,-0.374521,0.242196,128007,2015-07-06 12:35:50:842
-0.694107,0.50011,-1.156645,128508,2015-07-06 12:35:51:343
-0.773442,-1.035846,-0.508642,129007,2015-07-06 12:35:51:842
0.070054,0.390538,-0.12499,129507,2015-07-06 12:35:52:342
-0.145048,-0.207169,0.439336,130007,2015-07-06 12:35:52:842
1.637744,-0.242795,0.489782,130507,2015-07-06 12:35:53:342
-0.587678,-0.990191,-1.011147,131007,2015-07-06 12:35:53:842
-0.727936,-0.382455,0.487386,131507,2015-07-06 12:35:54:342
0.015418,-0.207618,0.056433,132007,2015-07-06 12:35:54:842
0.800685,-0.44712,0.652493,132507,2015-07-06 12:35:55:342
-0.39922,-0.530646,-1.298699,133006,2015-07-06 12:35:55:841
-1.45692,0.293989,0.616568,133507,2015-07-06 12:35:56:342
-0.090711,-0.306862,-0.40371,134007,2015-07-06 12:35:56:842
1.550626,1.295855,0.342338,134507,2015-07-06 12:35:57:342
-0.594414,-0.839903,-1.635349,135006,2015-07-06 12:35:57:841
-1.103505,2.01481,0.573907,135507,2015-07-06 12:35:58:342
0.24549,-0.20672,-0.45221,136006,2015-07-06 12:35:58:841
0.481249,0.438289,0.589175,136507,2015-07-06 12:35:59:342
-0.165406,-0.079934,-1.588048,137007,2015-07-06 12:35:59:842
-0.520617,-1.559756,0.352816,137508,2015-07-06 12:36:00:343
-0.517324,0.379311,0.292043,138012,2015-07-06 12:36:00:847
0.355211,-0.225731,0.564626,138507,2015-07-06 12:36:01:342
0.580044,1.294358,-0.673749,139007,2015-07-06 12:36:01:842
-1.00965,-0.84649,0.037123,139507,2015-07-06 12:36:02:342
0.716111,0.147443,-0.640219,140007,2015-07-06 12:36:02:842
0.309706,-0.159119,0.398172,140507,2015-07-06 12:36:03:342
0.926573,-0.186662,0.37018,141007,2015-07-06 12:36:03:842
-0.76955,-0.852777,-0.045206,141507,2015-07-06 12:36:04:342
-0.010628,-0.362097,-0.414488,142007,2015-07-06 12:36:04:842
