,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM,FILTER
157,0.001497,1.416205,1.385818,80007,2015-07-06 12:35:02:842,1.981446535,1.263838635
158,0.550705,-0.463885,0.164807,80507,2015-07-06 12:35:03:342,0.738665444,1.211321315
159,1.400787,0.45221,0.408501,81008,2015-07-06 12:35:03:843,1.52760308,1.242949492
160,-0.673599,-1.130898,-1.784439,81507,2015-07-06 12:35:04:342,2.217405791,1.340395122
161,-0.449665,1.835633,1.36591,82007,2015-07-06 12:35:04:842,2.331835597,1.439539169
162,0.077988,-0.137414,-0.65384,82507,2015-07-06 12:35:05:342,0.672660004,1.362851253
163,2.127376,0.402812,0.140857,83007,2015-07-06 12:35:05:842,2.169752716,1.443541399
164,-0.005389,0.983455,-1.572031,83507,2015-07-06 12:35:06:342,1.85431773,1.484619032
165,-0.051643,-0.535736,1.3948,84007,2015-07-06 12:35:06:842,1.495040836,1.485661213
166,0.141156,0.306113,-0.66372,84507,2015-07-06 12:35:07:342,0.744415491,1.41153664
167,1.019081,-0.809367,0.644111,85007,2015-07-06 12:35:07:842,1.452060607,1.415589037
168,-0.13921,1.22161,-0.464035,85507,2015-07-06 12:35:08:342,1.314168519,1.405446985
169,-1.14931,-0.094603,-0.006287,86013,2015-07-06 12:35:08:848,1.153214087,1.380223695
170,0.471969,0.221988,0.270488,86507,2015-07-06 12:35:09:342,0.587534822,1.300954808
171,-0.063618,0.160616,-0.113015,87007,2015-07-06 12:35:09:842,0.206439191,1.191503246
172,2.129472,-0.422871,0.917592,87512,2015-07-06 12:35:10:347,2.356999355,1.308052857
173,-1.520388,-1.012045,-1.762136,88007,2015-07-06 12:35:10:842,2.53790032,1.431037604
174,-0.902922,-1.552422,0.674048,88508,2015-07-06 12:35:11:343,1.918234321,1.479757275
175,-1.049767,0.227527,-0.968636,89008,2015-07-06 12:35:11:843,1.446386874,1.476420235
176,0.474813,-0.445025,0.26914,89507,2015-07-06 12:35:12:342,0.704223668,1.399200579
177,-0.278421,0.611928,-0.463137,90007,2015-07-06 12:35:12:842,0.816376146,1.340918135
178,-0.464185,0.262255,0.204475,90507,2015-07-06 12:35:13:342,0.571012631,1.263927585
179,-0.461191,-0.282463,-0.890199,91007,2015-07-06 12:35:13:842,1.041602969,1.241695123
180,0.186812,-0.082928,0.12499,91507,2015-07-06 12:35:14:342,0.239579374,1.141483548
181,0.781675,-0.338296,0.366288,92007,2015-07-06 12:35:14:842,0.927160659,1.120051259
182,-0.782573,-1.262774,-1.523382,92507,2015-07-06 12:35:15:342,2.127841957,1.220830329
183,-0.565374,-0.390837,-0.556243,93007,2015-07-06 12:35:15:842,0.884198844,1.187167181
184,-0.492326,-0.06736,0.393981,93508,2015-07-06 12:35:16:343,0.634147686,1.131865231
185,1.126408,-0.347428,0.600401,94011,2015-07-06 12:35:16:846,1.322869063,1.150965614
186,0.944087,0.789608,-1.648672,94514,2015-07-06 12:35:17:349,2.057401376,1.241609191
187,-1.179397,0.388143,0.446971,95007,2015-07-06 12:35:17:842,1.319626973,1.249410969
188,0.433948,0.420925,-1.468746,95507,2015-07-06 12:35:18:342,1.588302092,1.283300081
189,0.141606,-0.165855,-0.050146,96007,2015-07-06 12:35:18:842,0.223773907,1.177347464
190,0.319136,-0.40865,0.925376,96507,2015-07-06 12:35:19:342,1.060737173,1.165686435
191,-1.515449,-0.050894,-1.222059,97006,2015-07-06 12:35:19:841,1.947460929,1.243863884
192,-0.826132,-1.12042,-0.050595,97507,2015-07-06 12:35:20:342,1.392980586,1.258775554
193,0.000898,-0.204624,0.441133,98007,2015-07-06 12:35:20:842,0.486281926,1.181526191
194,-0.192649,-0.620759,-0.453706,98507,2015-07-06 12:35:21:342,0.792656614,1.142639234
195,-0.030387,-1.150507,0.010029,99007,2015-07-06 12:35:21:842,1.150951914,1.143470502
196,-0.310155,-0.067809,-1.304837,99507,2015-07-06 12:35:22:342,1.342904978,1.163413949
197,-0.083526,-0.284558,0.34144,100007,2015-07-06 12:35:22:842,0.452251171,1.092297672
198,-1.018781,0.958158,0.013322,100507,2015-07-06 12:35:23:342,1.398627525,1.122930657
199,-0.238903,-0.868344,0.166005,101007,2015-07-06 12:35:23:842,0.915780326,1.102215624
200,0.140109,0.324076,-0.216749,101512,2015-07-06 12:35:24:347,0.414289651,1.033423027
201,0.321681,-0.1202,0.618664,102007,2015-07-06 12:35:24:842,0.707581692,1.000838893
202,1.154998,0.922382,-1.50991,102507,2015-07-06 12:35:25:342,2.112968798,1.112051884
203,-0.968037,-0.469274,0.2645,103007,2015-07-06 12:35:25:842,1.10782398,1.111629093
204,1.109792,0.386197,-0.340841,103507,2015-07-06 12:35:26:342,1.223502756,1.122816459
205,0.540975,-0.14924,0.28875,104011,2015-07-06 12:35:26:846,0.631112582,1.073646072
206,0.273032,1.572181,-1.033451,104507,2015-07-06 12:35:27:342,1.901136644,1.156395129
207,-0.495919,-0.203876,0.64905,105007,2015-07-06 12:35:27:842,0.841882997,1.124943916
208,0.21136,0.294438,-0.169448,105507,2015-07-06 12:35:28:342,0.40009925,1.052459449
209,0.880319,-0.175136,0.810714,106009,2015-07-06 12:35:28:844,1.209500455,1.06816355
210,1.311872,-0.08667,-1.979633,106507,2015-07-06 12:35:29:342,2.37643991,1.198991186
211,-0.767155,-0.502954,0.579595,107007,2015-07-06 12:35:29:842,1.085089805,1.187601048
