,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,SUM
118,-0.407153,-0.387843,-0.246238,60507,2015-07-06 12:34:43:342,0.613863918717
119,1.049767,-0.838107,-2.170636,61007,2015-07-06 12:34:43:842,2.55266424393
120,1.064287,0.086071,0.326172,61508,2015-07-06 12:34:44:343,1.11646908107
121,0.004491,-0.368833,0.114811,62007,2015-07-06 12:34:44:842,0.386315307348
122,-2.037413,-0.06736,-1.509311,62507,2015-07-06 12:34:45:342,2.53645595209
123,0.449216,1.102607,-0.830922,63012,2015-07-06 12:34:45:847,1.45188449306
124,0.075593,-0.507145,0.145497,63507,2015-07-06 12:34:46:342,0.532991303572
125,-0.900976,-0.214205,0.204774,64007,2015-07-06 12:34:46:842,0.948458710581
126,-0.219593,-1.117576,-1.032553,64507,2015-07-06 12:34:47:342,1.53732329041
127,-1.805396,-0.563428,0.051942,65007,2015-07-06 12:34:47:842,1.89198409067
128,0.041913,-0.219444,0.411494,65507,2015-07-06 12:34:48:342,0.468230371442
129,0.370031,-0.350272,0.441432,66008,2015-07-06 12:34:48:843,0.674148073919
130,-0.639021,-0.744103,-1.624123,66506,2015-07-06 12:34:49:341,1.8973172197
131,-0.033081,1.647324,0.316741,67007,2015-07-06 12:34:49:842,1.6778246555
132,0.787662,-0.419278,-0.759221,67507,2015-07-06 12:34:50:342,1.17158951616
133,2.97656,1.347648,-0.27902,68007,2015-07-06 12:34:50:842,3.27931650286
134,-0.852926,-1.428479,-1.636696,68507,2015-07-06 12:34:51:342,2.33383992839
135,-0.9857,-1.438658,-0.456251,69007,2015-07-06 12:34:51:842,1.80263870644
136,0.253273,-0.282463,-1.183738,69507,2015-07-06 12:34:52:342,1.24304795223
137,2.953508,1.519041,-0.436792,70007,2015-07-06 12:34:52:842,3.34984810357
138,-1.537303,0.708926,-1.182691,70506,2015-07-06 12:34:53:341,2.06509917165
139,-0.333057,-0.603545,-0.32677,71007,2015-07-06 12:34:53:842,0.76287100166
140,-0.248633,0.51463,-0.489931,71507,2015-07-06 12:34:54:342,0.752791332542
141,0.167352,-0.233365,0.030387,72007,2015-07-06 12:34:54:842,0.288772029286
142,-0.411045,0.97642,-0.384101,72507,2015-07-06 12:34:55:342,1.12689289049
143,-1.342708,-0.799338,-0.914299,73007,2015-07-06 12:34:55:842,1.81045537722
144,0.453407,0.435894,0.063019,73507,2015-07-06 12:34:56:342,0.632101954787
145,-0.096549,-0.275427,-0.041464,74007,2015-07-06 12:34:56:842,0.294789764113
146,-0.389041,-0.550555,0.064965,74507,2015-07-06 12:34:57:342,0.677262252699
147,0.546364,-0.253573,-1.612297,75007,2015-07-06 12:34:57:842,1.72113756075
148,-1.079106,2.800227,-0.12963,75510,2015-07-06 12:34:58:345,3.0037551411
149,0.116458,-0.305964,-0.405207,76010,2015-07-06 12:34:58:845,0.520931039495
150,1.026116,0.332608,0.70234,76507,2015-07-06 12:34:59:342,1.28717660122
151,0.122894,0.131876,-0.755928,77007,2015-07-06 12:34:59:842,0.777123771221
152,-0.272284,-0.679287,0.829874,77506,2015-07-06 12:35:00:341,1.10646295053
153,0.398022,0.028441,-0.850681,78007,2015-07-06 12:35:00:842,0.939621501843
154,0.340841,-0.396675,0.294587,78507,2015-07-06 12:35:01:342,0.600254232367
155,0.449366,-0.273781,-0.472268,79007,2015-07-06 12:35:01:842,0.707052262383
156,-1.172661,-0.170196,-1.26472,79508,2015-07-06 12:35:02:343,1.73309468228
157,0.001497,1.416205,1.385818,80007,2015-07-06 12:35:02:842,1.98144653528
158,0.550705,-0.463885,0.164807,80507,2015-07-06 12:35:03:342,0.738665443553
159,1.400787,0.45221,0.408501,81008,2015-07-06 12:35:03:843,1.52760308015
160,-0.673599,-1.130898,-1.784439,81507,2015-07-06 12:35:04:342,2.21740579144
161,-0.449665,1.835633,1.36591,82007,2015-07-06 12:35:04:842,2.33183559691
162,0.077988,-0.137414,-0.65384,82507,2015-07-06 12:35:05:342,0.672660004118
163,2.127376,0.402812,0.140857,83007,2015-07-06 12:35:05:842,2.16975271567
164,-0.005389,0.983455,-1.572031,83507,2015-07-06 12:35:06:342,1.85431772987
165,-0.051643,-0.535736,1.3948,84007,2015-07-06 12:35:06:842,1.49504083595
166,0.141156,0.306113,-0.66372,84507,2015-07-06 12:35:07:342,0.744415491177
167,1.019081,-0.809367,0.644111,85007,2015-07-06 12:35:07:842,1.45206060671
168,-0.13921,1.22161,-0.464035,85507,2015-07-06 12:35:08:342,1.31416851942
169,-1.14931,-0.094603,-0.006287,86013,2015-07-06 12:35:08:848,1.15321408684
170,0.471969,0.221988,0.270488,86507,2015-07-06 12:35:09:342,0.587534822159
171,-0.063618,0.160616,-0.113015,87007,2015-07-06 12:35:09:842,0.206439191059
172,2.129472,-0.422871,0.917592,87512,2015-07-06 12:35:10:347,2.35699935509
173,-1.520388,-1.012045,-1.762136,88007,2015-07-06 12:35:10:842,2.53790032016
174,-0.902922,-1.552422,0.674048,88508,2015-07-06 12:35:11:343,1.91823432105
175,-1.049767,0.227527,-0.968636,89008,2015-07-06 12:35:11:843,1.44638687443
176,0.474813,-0.445025,0.26914,89507,2015-07-06 12:35:12:342,0.704223668442
177,-0.278421,0.611928,-0.463137,90007,2015-07-06 12:35:12:842,0.816376145655
178,-0.464185,0.262255,0.204475,90507,2015-07-06 12:35:13:342,0.571012631099
179,-0.461191,-0.282463,-0.890199,91007,2015-07-06 12:35:13:842,1.04160296872
180,0.186812,-0.082928,0.12499,91507,2015-07-06 12:35:14:342,0.239579374379
181,0.781675,-0.338296,0.366288,92007,2015-07-06 12:35:14:842,0.927160659317
182,-0.782573,-1.262774,-1.523382,92507,2015-07-06 12:35:15:342,2.12784195685
183,-0.565374,-0.390837,-0.556243,93007,2015-07-06 12:35:15:842,0.884198843866
184,-0.492326,-0.06736,0.393981,93508,2015-07-06 12:35:16:343,0.634147686456
185,1.126408,-0.347428,0.600401,94011,2015-07-06 12:35:16:846,1.32286906323
186,0.944087,0.789608,-1.648672,94514,2015-07-06 12:35:17:349,2.05740137572
187,-1.179397,0.388143,0.446971,95007,2015-07-06 12:35:17:842,1.31962697263
188,0.433948,0.420925,-1.468746,95507,2015-07-06 12:35:18:342,1.58830209181
189,0.141606,-0.165855,-0.050146,96007,2015-07-06 12:35:18:842,0.223773907275
190,0.319136,-0.40865,0.925376,96507,2015-07-06 12:35:19:342,1.06073717309
191,-1.515449,-0.050894,-1.222059,97006,2015-07-06 12:35:19:841,1.94746092909
192,-0.826132,-1.12042,-0.050595,97507,2015-07-06 12:35:20:342,1.3929805856
193,0.000898,-0.204624,0.441133,98007,2015-07-06 12:35:20:842,0.486281925912
194,-0.192649,-0.620759,-0.453706,98507,2015-07-06 12:35:21:342,0.792656614
195,-0.030387,-1.150507,0.010029,99007,2015-07-06 12:35:21:842,1.1509519137
196,-0.310155,-0.067809,-1.304837,99507,2015-07-06 12:35:22:342,1.34290497842
197,-0.083526,-0.284558,0.34144,100007,2015-07-06 12:35:22:842,0.452251170966
198,-1.018781,0.958158,0.013322,100507,2015-07-06 12:35:23:342,1.39862752533
199,-0.238903,-0.868344,0.166005,101007,2015-07-06 12:35:23:842,0.915780326154
200,0.140109,0.324076,-0.216749,101512,2015-07-06 12:35:24:347,0.414289650677
201,0.321681,-0.1202,0.618664,102007,2015-07-06 12:35:24:842,0.707581691861
202,1.154998,0.922382,-1.50991,102507,2015-07-06 12:35:25:342,2.11296879817
203,-0.968037,-0.469274,0.2645,103007,2015-07-06 12:35:25:842,1.1078239799
204,1.109792,0.386197,-0.340841,103507,2015-07-06 12:35:26:342,1.22350275576
205,0.540975,-0.14924,0.28875,104011,2015-07-06 12:35:26:846,0.631112581656
206,0.273032,1.572181,-1.033451,104507,2015-07-06 12:35:27:342,1.90113664401
207,-0.495919,-0.203876,0.64905,105007,2015-07-06 12:35:27:842,0.841882996881
208,0.21136,0.294438,-0.169448,105507,2015-07-06 12:35:28:342,0.400099250372
209,0.880319,-0.175136,0.810714,106009,2015-07-06 12:35:28:844,1.20950045476
210,1.311872,-0.08667,-1.979633,106507,2015-07-06 12:35:29:342,2.37643991045
211,-0.767155,-0.502954,0.579595,107007,2015-07-06 12:35:29:842,1.08508980465
212,0.501008,-0.299228,-0.373922,107507,2015-07-06 12:35:30:342,0.693083021096
213,1.044378,-0.319735,0.964594,108007,2015-07-06 12:35:30:842,1.45718820402
214,-0.396825,-0.253573,-1.753454,108507,2015-07-06 12:35:31:342,1.81559088923
215,-0.872985,-0.626148,0.640967,109007,2015-07-06 12:35:31:842,1.2510007287
216,0.599803,0.220491,0.222138,109507,2015-07-06 12:35:32:342,0.676553923153
217,0.315843,-0.318538,0.527054,110007,2015-07-06 12:35:32:842,0.692104888734
218,0.416883,0.093855,-2.011966,110507,2015-07-06 12:35:33:342,2.05684403441
219,0.049846,-1.195115,0.503703,111007,2015-07-06 12:35:33:842,1.29788335345
220,0.853824,0.096998,-0.541574,111507,2015-07-06 12:35:34:342,1.01573935262
221,-0.229772,-0.20193,0.287552,112007,2015-07-06 12:35:34:842,0.419829786447
222,0.180674,1.715433,-0.934806,112507,2015-07-06 12:35:35:342,1.9619418262
223,-0.573308,-0.85577,0.515079,113011,2015-07-06 12:35:35:846,1.15166433131
224,0.449815,0.129032,-0.185015,113507,2015-07-06 12:35:36:342,0.503203081741
225,-0.099842,-0.101788,0.81745,114006,2015-07-06 12:35:36:841,0.829791374026
226,-1.146765,-0.86565,-1.67367,114509,2015-07-06 12:35:37:344,2.20580850407
227,-0.932112,-0.31734,1.002465,115007,2015-07-06 12:35:37:842,1.40515961099
228,0.246986,-0.260458,-0.437241,115507,2015-07-06 12:35:38:342,0.565703231422
229,1.945953,1.228495,0.238903,116007,2015-07-06 12:35:38:842,2.31365677806
230,-0.282313,-0.630639,-1.542393,116507,2015-07-06 12:35:39:342,1.69008353188
231,-0.968037,0.968336,0.700394,117007,2015-07-06 12:35:39:842,1.53796033678
232,1.040786,-0.497416,0.337548,117507,2015-07-06 12:35:40:342,1.20191381852
233,-0.159568,-0.464334,-1.432371,118007,2015-07-06 12:35:40:842,1.51418449729
234,-0.342937,0.00943,-0.294438,118507,2015-07-06 12:35:41:342,0.452093404855
235,-0.691712,0.86101,0.345033,119006,2015-07-06 12:35:41:841,1.15708749977
236,-0.185764,-0.674198,-0.521665,119507,2015-07-06 12:35:42:342,0.872459499991
237,0.316891,1.117875,1.260529,120007,2015-07-06 12:35:42:842,1.71435054214
238,-0.836311,-0.598156,-1.988764,120507,2015-07-06 12:35:43:342,2.23883651407
